Angle [°] ; Isc [A] ;  Temperature DUT [°C]
0.000000 ; 0.001113 ; 24.942130
5.000000 ; 0.001112 ; 24.895244
10.000000 ; 0.001111 ; 24.860204
15.000000 ; 0.001109 ; 24.856332
20.000000 ; 0.001108 ; 24.790237
25.000000 ; 0.001107 ; 24.782898
30.000000 ; 0.001100 ; 24.743684
35.000000 ; 0.001094 ; 24.742539
40.000000 ; 0.001091 ; 24.733348
45.000000 ; 0.001086 ; 24.689257
50.000000 ; 0.001079 ; 24.670147
55.000000 ; 0.001071 ; 24.662883
60.000000 ; 0.001063 ; 24.646431
65.000000 ; 0.001051 ; 24.641772
70.000000 ; 0.001043 ; 24.630737
75.000000 ; 0.001031 ; 24.632691
80.000000 ; 0.001016 ; 24.612164
