Angle [°] ; Isc [A] ;  Temperature DUT [°C]
0.000000 ; 0.001114 ; 24.586048
-5.000000 ; 0.001113 ; 24.601785
-10.000000 ; 0.001110 ; 24.580949
-15.000000 ; 0.001109 ; 24.572763
-20.000000 ; 0.001106 ; 24.572483
-25.000000 ; 0.001104 ; 24.566135
-30.000000 ; 0.001101 ; 24.548766
-35.000000 ; 0.001099 ; 24.547895
-40.000000 ; 0.001094 ; 24.547060
-45.000000 ; 0.001086 ; 24.564999
-50.000000 ; 0.001078 ; 24.528823
-55.000000 ; 0.001074 ; 24.539927
-60.000000 ; 0.001067 ; 24.535099
-65.000000 ; 0.001058 ; 24.522967
-70.000000 ; 0.001048 ; 24.516748
-75.000000 ; 0.001038 ; 24.545363
-80.000000 ; 0.001025 ; 24.548943
