Angle [°] ; Isc [A] ;  Temperature DUT [°C]
0.000000 ; 0.000654 ; 24.263700
5.000000 ; 0.000652 ; 24.285378
10.000000 ; 0.000650 ; 24.301124
15.000000 ; 0.000650 ; 24.323220
20.000000 ; 0.000645 ; 24.334085
25.000000 ; 0.000637 ; 24.349607
30.000000 ; 0.000627 ; 24.362129
35.000000 ; 0.000618 ; 24.358922
40.000000 ; 0.000604 ; 24.400069
45.000000 ; 0.000591 ; 24.388991
50.000000 ; 0.000575 ; 24.440280
55.000000 ; 0.000557 ; 24.442042
60.000000 ; 0.000536 ; 24.497408
65.000000 ; 0.000506 ; 24.497473
70.000000 ; 0.000464 ; 24.503537
75.000000 ; 0.000406 ; 24.467802
80.000000 ; 0.000318 ; 24.445965
