TmStamp + TZ,Date,Time,GHI [W/m2],DfHI [W/m2],DNI [W/m2],Diff_Fraction,SolarZenith [°],SolarAzimuth [°],AirMass,Wspd [m/s],HSAT_Gpoa [W/m2],FT_Gpoa [W/m2],Tamb [°C],HSAT_Tmod [°C],DC_Imp_HSAT_T8_Total [A],DC_Imp_HSAT_T7_Total [A],DC_Imp_FT_T16_Total [A],DC_Imp_FT_T15_Total [A],DC_Vmp_HSAT_T8 [V],DC_Vmp_HSAT_T7 [V],DC_Vmp_FT_T16 [V],DC_Vmp_FT_T15 [V],AC_Pwr_FT [W],AC_Pwr_HSAT [W],HSAT_T7_angle [°],HSAT_T8_angle [°]
2020-01-01 09:00:00+01:00,2020-01-01,9:00:00 AM,8.4974264092,8.6044543902,0.2303903187,1.0137739645,87.89435552,137.79555562,19.317444441,2,7.2,6.6,8.4133333333,7.7733333333,0.26,0.2573333333,0.282,0.2753333333,642.14,637.08133333,575.814,616.28066667,280.66666667,298.66666667,-6.053333346,-5.733333346
2020-01-01 09:15:00+01:00,2020-01-01,9:15:00 AM,16.138408587,16.205092133,0.2338841312,1.0044404699,86.597055138,140.96111094,14.135666667,5,14.266666667,13.133333333,8.4133333333,7.6933333333,0.5146666667,0.512,0.5086666667,0.5,651.27133333,656.02666667,660.82333333,671.04266667,607.33333333,634,-11.5600001,-11.48666668
2020-01-01 09:30:00+01:00,2020-01-01,9:30:00 AM,27.361597506,27.397491519,0.2932220336,1.0015107678,85.359788683,144.17000003,11.135666646,3.7000000477,25.266666667,24.933333333,8.3733333333,7.7866666667,0.908,0.9193333333,0.984,0.9786666667,685.90866667,683.97933333,689.81533333,687.564,1278.6666667,1210.6666667,-17.79999987,-17.61333326
2020-01-01 09:45:00+01:00,2020-01-01,9:45:00 AM,38.943041484,38.307201025,5.3735418664,0.9842502422,84.200866699,147.42000003,9.2465555615,3.2999999523,39.866666667,37.866666667,8.4533333333,8.2466666667,1.4333333333,1.4433333333,1.58,1.5193333333,695.76333333,701.96333333,705.92333333,703.146,2112.6666667,1968,-25.54666672,-25.15333328
2020-01-01 10:00:00+01:00,2020-01-01,10:00:00 AM,34.551324187,34.05453186,3.6987528622,0.9874637412,83.134299978,150.71555566,7.9795333703,3.4000000954,35.266666667,34.6,8.4733333333,8.3333333333,1.26,1.264,1.4666666667,1.374,694.25733333,695.72866667,700.79266667,700.56666667,1926.6666667,1710,-35.73999977,-35.20666669
2020-01-01 10:15:00+01:00,2020-01-01,10:15:00 AM,40.418765831,38.474853325,13.041959786,0.9579317119,82.168433211,154.04888899,7.0910000006,3.5,44.2,37.866666667,8.3933333333,8.32,1.5986666667,1.5753333333,1.8646666667,1.6293333333,703.226,709.552,713.178,715.67466667,2438.6666667,2226,-52.51333389,-51.95333328
2020-01-01 10:30:00+01:00,2020-01-01,10:30:00 AM,50.692024867,50.429783503,2.1246778154,0.9958703677,81.310222202,157.42222239,6.4493000136,5.5999999046,37.2,41.133333333,8.28,8.4133333333,1.3806666667,1.3766666667,1.6446666667,1.606,698.94333333,698.89,701.75266667,701.52466667,2232,1888,-60.01333338,-60.40666631
2020-01-01 10:45:00+01:00,2020-01-01,10:45:00 AM,75.163417647,74.572919295,2.3788035787,0.9922510955,80.564333344,160.82888879,5.9770444393,2.9000000954,70.066666667,70.733333333,8.3,8.7666666667,2.5753333333,2.5406666667,2.912,2.7773333333,717.82333333,719.14866667,721.66133333,728.28133333,4044,3658,-59.87333374,-59.96000036
2020-01-01 11:00:00+01:00,2020-01-01,11:00:00 AM,73.722435294,73.659341727,0.5842915224,0.9992616561,79.935555691,164.27000003,5.6287888845,3.7000000477,59.266666667,66.933333333,8.3866666667,9.1733333333,2.1906666667,2.1633333333,2.5966666667,2.532,711.948,716.48333333,719.024,721.34333333,3622,3065.3333333,-59.43333333,-59.70666682
2020-01-01 11:15:00+01:00,2020-01-01,11:15:00 AM,97.781728956,97.268364376,1.5933202429,0.9947657744,79.428666687,167.73666704,5.3756111145,3.0999999046,79.2,94.4,8.4933333333,9.58,2.8753333333,2.8893333333,3.7573333333,3.648,720.222,724.37733333,722.99533333,727.54133333,5283.3333333,4128,-54.52666651,-55.25333328
