TmStamp + TZ,Date,Time,GHI [W/m2],DfHI [W/m2],DNI [W/m2],Diff_Fraction,SolarZenith [°],SolarAzimuth [°],AirMass,Wspd [m/s],HSAT_Gpoa [W/m2],FT_Gpoa [W/m2],Tamb [°C],HSAT_Tmod [°C],DC_Imp_HSAT_T8_Total [A],DC_Imp_HSAT_T7_Total [A],DC_Imp_FT_T16_Total [A],DC_Imp_FT_T15_Total [A],DC_Vmp_HSAT_T8 [V],DC_Vmp_HSAT_T7 [V],DC_Vmp_FT_T16 [V],DC_Vmp_FT_T15 [V],AC_Pwr_FT [W],AC_Pwr_HSAT [W],HSAT_T7_angle [°],HSAT_T8_angle [°],(1-COS)FT,(1+cos)FT,G-POA- FT-25,COS T (FT 25),SunHrs-FT ,,G-POA-HSAT7,COST (HSAT7),(1-COS)7,(1+cos)7,Gamma-HSAT7,,G-POA-HSAT8,COST (HSAT8),(1-COS)8,(1+cos)8,Gamma-HSAT8,GPOA-HSAT-AV,SunHrs-HSAT,GPOA_HSAT_Corrected
2020-01-01 09:00:00+01:00,1/1/2020,0.375,8.497426409,8.60445439,0.230390319,1.013773965,87.89435552,137.7955556,19.31744444,2,7.2,6.6,8.413333333,7.773333333,0.26,0.257333333,0.282,0.275333333,642.14,637.0813333,575.814,616.2806667,280.6666667,298.6666667,-6.053333346,-5.733333346,0.046846106,0.953153894,6.6,0.346143851,0.00165,,7.2,-0.034256668,0.002787918,0.997212082,90,,7.2,-0.030506036,0.00250119,0.99749881,90,7.2,0.0018,7.2
2020-01-01 09:15:00+01:00,1/1/2020,0.385416667,16.13840859,16.20509213,0.233884131,1.00444047,86.59705514,140.9611109,14.13566667,5,14.26666667,13.13333333,8.413333333,7.693333333,0.514666667,0.512,0.508666667,0.5,651.2713333,656.0266667,660.8233333,671.0426667,607.3333333,634,-11.5600001,-11.48666668,0.046846106,0.953153894,13.13333333,0.381473021,0.003283333,,14.26666667,-0.067841524,0.010142305,0.989857695,90,,14.26666667,-0.067037841,0.010014463,0.989985537,90,14.26666667,0.003566667,14.26666667
2020-01-01 09:30:00+01:00,1/1/2020,0.395833333,27.36159751,27.39749152,0.293222034,1.001510768,85.35978868,144.17,11.13566665,3.700000048,25.26666667,24.93333333,8.373333333,7.786666667,0.908,0.919333333,0.984,0.978666667,685.9086667,683.9793333,689.8153333,687.564,1278.666667,1210.666667,-17.79999987,-17.61333326,0.046846106,0.953153894,24.93333333,0.414836744,0.006233333,,25.26666667,-0.101336273,0.023935303,0.976064697,90,,25.26666667,-0.099445272,0.023439861,0.976560139,90,25.26666667,0.006316667,25.26666667
2020-01-01 09:45:00+01:00,1/1/2020,0.40625,38.94304148,38.30720103,5.373541866,0.984250242,84.2008667,147.42,9.246555562,3.299999952,39.86666667,37.86666667,8.453333333,8.246666667,1.433333333,1.443333333,1.58,1.519333333,695.7633333,701.9633333,705.9233333,703.146,2112.666667,1968,-25.54666672,-25.15333328,0.046846106,0.953153894,37.86666667,0.445867183,0.009466667,,39.86666667,-0.139864658,0.048882831,0.951117169,90,,39.86666667,-0.136244108,0.047413228,0.952586772,90,39.86666667,0.009966667,39.86666667
2020-01-01 10:00:00+01:00,1/1/2020,0.416666667,34.55132419,34.05453186,3.698752862,0.987463741,83.13429998,150.7155557,7.97953337,3.400000095,35.26666667,34.6,8.473333333,8.333333333,1.26,1.264,1.466666667,1.374,694.2573333,695.7286667,700.7926667,700.5666667,1926.666667,1710,-35.73999977,-35.20666669,0.046846106,0.953153894,34.6,0.474307581,0.00865,,35.26666667,-0.186635295,0.094162029,0.905837971,90,,35.26666667,-0.182308106,0.091461089,0.908538911,90,35.26666667,0.008816667,35.26666667
2020-01-01 10:15:00+01:00,1/1/2020,0.427083333,40.41876583,38.47485333,13.04195979,0.957931712,82.16843321,154.048889,7.091000001,3.5,44.2,37.86666667,8.393333333,8.32,1.598666667,1.575333333,1.864666667,1.629333333,703.226,709.552,713.178,715.6746667,2438.666667,2226,-52.51333389,-51.95333328,0.046846106,0.953153894,37.86666667,0.499955152,0.009466667,,44.2,-0.261072409,0.195711608,0.804288392,90,,44.2,-0.257424568,0.191848452,0.808151548,90,44.2,0.01105,44.2
2020-01-01 10:30:00+01:00,1/1/2020,0.4375,50.69202487,50.4297835,2.124677815,0.995870368,81.3102222,157.4222224,6.449300014,5.599999905,37.2,41.13333333,8.28,8.413333333,1.380666667,1.376666667,1.644666667,1.606,698.9433333,698.89,701.7526667,701.5246667,2232,1888,-60.01333338,-60.40666631,0.046846106,0.953153894,41.13333333,0.522677994,0.010283333,,37.2,-0.253214953,0.250100774,0.749899226,90,,37.2,-0.255409524,0.253079651,0.746920349,90,37.2,0.0093,37.2
2020-01-01 10:45:00+01:00,1/1/2020,0.447916667,75.16341765,74.5729193,2.378803579,0.992251096,80.56433334,160.8288888,5.977044439,2.900000095,70.06666667,70.73333333,8.3,8.766666667,2.575333333,2.540666667,2.912,2.777333333,717.8233333,719.1486667,721.6613333,728.2813333,4044,3658,-59.87333374,-59.96000036,0.046846106,0.953153894,70.73333333,0.542360095,0.017683333,,70.06666667,-0.19790422,0.249043332,0.750956668,90,,70.06666667,-0.198364417,0.249697764,0.750302236,90,70.06666667,0.017516667,70.06666667
2020-01-01 11:00:00+01:00,1/1/2020,0.458333333,73.72243529,73.65934173,0.584291522,0.999261656,79.93555569,164.27,5.628788885,3.700000048,59.26666667,66.93333333,8.386666667,9.173333333,2.190666667,2.163333333,2.596666667,2.532,711.948,716.4833333,719.024,721.3433333,3622,3065.333333,-59.43333333,-59.70666682,0.046846106,0.953153894,66.93333333,0.558913893,0.016733333,,59.26666667,-0.140968792,0.245729715,0.754270285,90,,59.26666667,-0.142332603,0.247786421,0.752213579,90,59.26666667,0.014816667,59.26666667
2020-01-01 11:15:00+01:00,1/1/2020,0.46875,97.78172896,97.26836438,1.593320243,0.994765774,79.42866669,167.736667,5.375611115,3.099999905,79.2,94.4,8.493333333,9.58,2.875333333,2.889333333,3.757333333,3.648,720.222,724.3773333,722.9953333,727.5413333,5283.333333,4128,-54.52666651,-55.25333328,0.046846106,0.953153894,94.4,0.572236327,0.0236,,79.2,-0.063577745,0.209838006,0.790161994,90,,79.2,-0.067004213,0.21502552,0.78497448,90,79.2,0.0198,79.2
2020-01-01 11:30:00+01:00,1/1/2020,0.479166667,89.51048364,89.20847939,0.614500996,0.996631983,79.04466671,171.2266666,5.199555561,6,79.66666667,91,8.666666667,9.92,2.866666667,2.892,3.509333333,3.431333333,723.1066667,727.0706667,722.156,726.262,4941.333333,4126,-46.34666672,-47.14666672,0.046846106,0.953153894,91,0.582299642,0.02275,,79.66666667,0.02284008,0.154853333,0.845146667,90,,79.66666667,0.019474769,0.159938002,0.840061998,90,79.66666667,0.019916667,79.66666667
2020-01-01 11:45:00+01:00,1/1/2020,0.489583333,70.72465172,70.55676944,0.33751229,0.997740734,78.78722195,174.73,5.087477785,5.400000095,67.33333333,69.93333333,8.726666667,10.06666667,2.454666667,2.469333333,2.720666667,2.677333333,715.3953333,718.9306667,719.9193333,721.8453333,3810.666667,3486,-35.98666687,-36.89333331,0.046846106,0.953153894,69.93333333,0.589033282,0.017483333,,67.33333333,0.104402346,0.095423123,0.904576877,90,,67.33333333,0.101427694,0.100122742,0.899877258,90,67.33333333,0.016833333,67.33333333
2020-01-01 12:00:00+01:00,1/1/2020,0.5,59.07527716,59.10416794,0.299952019,1.000481931,78.65855594,178.2433333,5.03185552,4.400000095,52.13333333,53.26666667,8.7,9.786666667,1.898,1.925333333,2.022666667,2.005333333,702.094,706.898,710.818,712.3566667,2768.666667,2644,-22.97999992,-23.87333323,0.046846106,0.953153894,53.26666667,0.592401241,0.013316667,,52.13333333,0.169314829,0.039679406,0.960320594,90,,52.13333333,0.167665816,0.042778791,0.957221209,90,52.13333333,0.013033333,52.13333333
2020-01-01 12:15:00+01:00,1/1/2020,0.510416667,65.47730717,65.61473503,0.275603035,1.002095147,78.65777825,181.7633335,5.030077749,5.300000191,60.93333333,59.13333333,8.733333333,9.733333333,2.175333333,2.224666667,2.184,2.171333333,709.2073333,710.9613333,710.9413333,713.096,3023.333333,3081.333333,-6.800000016,-7.473333383,0.046846106,0.953153894,59.13333333,0.592410694,0.014783333,,60.93333333,0.198857516,0.003517246,0.996482754,90,,60.93333333,0.198922186,0.004247248,0.995752752,90,60.93333333,0.015233333,60.93333333
2020-01-01 12:30:00+01:00,1/1/2020,0.520833333,75.92980177,75.58242535,2.435073212,0.996101785,78.78533308,185.2766666,5.082466661,2.299999952,73.73333333,72.86666667,8.746666667,9.98,2.603333333,2.641333333,2.658666667,2.64,712.6246667,717.3213333,715.292,717.8826667,3714,3709.333333,11.02666665,10.05333337,0.046846106,0.953153894,72.86666667,0.589055459,0.018216667,,73.73333333,0.208148826,0.009230865,0.990769135,270,,73.73333333,0.207246589,0.007677156,0.992322844,270,73.73333333,0.018433333,73.73333333
2020-01-01 12:45:00+01:00,1/1/2020,0.53125,93.61660639,90.3722663,14.00759397,0.973055449,79.04133343,188.7833333,5.192577781,4,82.93333333,92.6,8.72,9.886666667,2.899333333,2.932,3.445333333,3.324,722.954,724.92,722.2526667,726.9733333,4832.666667,4180.666667,28.36666654,26.04666659,0.046846106,0.953153894,92.6,0.582335736,0.02315,,82.93333333,0.23850039,0.060037434,0.939962566,270,,82.93333333,0.23662116,0.050781649,0.949218351,270,82.93333333,0.020733333,82.93333333
