
Time[us], Umeas[V], Imeas[V], Irrad.[kW/m²], Ucorr.[V], Icorr.[A], Pcorr.[W]
0.0,0.601,1.885,0.995,0.603,1.992,1.1820
40.0,0.601,1.890,1.010,0.605,1.871,1.1130
80.0,0.405,7.651,1.016,0.409,7.783,3.1307
120.0,-0.195,10.000,1.017,-0.195,10.205,-1.9533
160.0,-0.234,8.730,1.017,-0.234,8.891,-2.0452
200.0,-0.254,8.486,1.014,-0.254,8.663,-2.1626
240.0,-0.234,8.423,1.013,-0.234,8.606,-1.9829
280.0,-0.205,8.408,1.012,-0.205,8.599,-1.7331
320.0,-0.166,8.394,1.012,-0.166,8.584,-1.3986
360.0,-0.127,8.394,1.011,-0.126,8.592,-1.0690
400.0,-0.093,8.379,1.011,-0.092,8.577,-0.7773
440.0,-0.059,8.379,1.010,-0.058,8.585,-0.4888
480.0,-0.020,8.359,1.009,-0.019,8.573,-0.1578
520.0,0.020,8.359,1.008,0.020,8.582,0.1726
560.0,0.054,8.345,1.007,0.055,8.575,0.4613
600.0,0.093,8.345,1.006,0.094,8.583,0.7924
640.0,0.122,8.325,1.005,0.123,8.571,1.0387
680.0,0.161,8.335,1.005,0.162,8.581,1.3713
720.0,0.200,8.315,1.004,0.202,8.569,1.6995
760.0,0.234,8.325,1.004,0.236,8.580,1.9914
800.0,0.269,8.306,1.004,0.270,8.559,2.2759
840.0,0.308,8.306,1.004,0.310,8.559,2.6065
880.0,0.337,8.286,1.004,0.339,8.539,2.8476
920.0,0.371,8.276,1.004,0.373,8.529,3.1325
960.0,0.396,8.242,1.004,0.398,8.494,3.3245
1000.0,0.420,8.193,1.003,0.422,8.452,3.5112
1040.0,0.435,8.145,1.004,0.437,8.393,3.6091
1080.0,0.449,8.062,1.004,0.452,8.307,3.6924
1120.0,0.459,7.993,1.003,0.462,8.244,3.7435
1160.0,0.469,7.891,1.004,0.472,8.130,3.7708
1200.0,0.479,7.808,1.003,0.481,8.053,3.8118
1240.0,0.488,7.700,1.004,0.491,7.933,3.8326
1280.0,0.493,7.607,1.004,0.496,7.837,3.8241
1320.0,0.498,7.510,1.004,0.501,7.736,3.8121
1360.0,0.503,7.417,1.004,0.506,7.640,3.8017
1400.0,0.508,7.295,1.004,0.511,7.514,3.7751
1440.0,0.513,7.202,1.004,0.516,7.418,3.7627
1480.0,0.513,7.075,1.004,0.516,7.286,3.6961
1520.0,0.518,6.978,1.004,0.521,7.185,3.6795
1560.0,0.522,6.851,1.004,0.525,7.054,3.6463
1600.0,0.522,6.748,1.004,0.525,6.948,3.5915
1640.0,0.527,6.611,1.004,0.530,6.806,3.5512
1680.0,0.532,6.504,1.004,0.535,6.695,3.5255
1720.0,0.537,6.372,1.004,0.540,6.559,3.4854
1760.0,0.537,6.265,1.004,0.540,6.448,3.4263
1800.0,0.542,6.138,1.004,0.545,6.316,3.3870
1840.0,0.542,6.035,1.004,0.545,6.210,3.3301
1880.0,0.547,5.903,1.004,0.550,6.074,3.2863
1920.0,0.547,5.796,1.004,0.550,5.963,3.2262
1960.0,0.552,5.664,1.004,0.555,5.826,3.1805
2000.0,0.552,5.552,1.004,0.555,5.710,3.1171
2040.0,0.557,5.410,1.004,0.560,5.564,3.0640
2080.0,0.557,5.293,1.004,0.560,5.442,2.9972
2120.0,0.562,5.161,1.004,0.565,5.306,2.9477
2160.0,0.562,5.049,1.004,0.565,5.190,2.8831
2200.0,0.566,4.917,1.004,0.570,5.053,2.8318
