Time[us], Umeas[V], Imeas[V], Irrad.[kW/m²], Ucorr.[V], Icorr.[A], Pcorr.[W]
0.0,0.601,1.978,0.979,0.601,2.236,1.3229
40.0,0.601,1.987,1.006,0.604,2.006,1.1920
80.0,0.400,7.852,1.017,0.404,7.982,3.1719
120.0,-0.615,10.000,1.020,-0.616,10.180,-6.1734
160.0,-0.361,8.750,1.018,-0.361,8.903,-3.1657
200.0,-0.298,8.506,1.016,-0.298,8.667,-2.5394
240.0,-0.254,8.433,1.014,-0.254,8.608,-2.1496
280.0,-0.220,8.423,1.013,-0.220,8.606,-1.8591
320.0,-0.181,8.394,1.011,-0.181,8.592,-1.5259
360.0,-0.132,8.398,1.012,-0.131,8.589,-1.1099
400.0,-0.098,8.389,1.011,-0.097,8.587,-0.8203
440.0,-0.059,8.389,1.011,-0.058,8.587,-0.4887
480.0,-0.034,8.369,1.009,-0.034,8.583,-0.2829
520.0,0.005,8.369,1.008,0.006,8.592,0.0478
560.0,0.044,8.350,1.007,0.045,8.580,0.3783
600.0,0.083,8.350,1.006,0.084,8.588,0.7095
640.0,0.117,8.330,1.006,0.118,8.568,0.9974
680.0,0.156,8.335,1.005,0.158,8.581,1.3295
720.0,0.190,8.320,1.004,0.192,8.575,1.6174
760.0,0.229,8.325,1.004,0.231,8.580,1.9497
800.0,0.264,8.306,1.004,0.265,8.559,2.2344
840.0,0.303,8.315,1.004,0.305,8.569,2.5679
880.0,0.332,8.291,1.004,0.334,8.544,2.8078
920.0,0.366,8.276,1.004,0.368,8.529,3.0910
960.0,0.391,8.247,1.004,0.393,8.499,3.2852
1000.0,0.415,8.198,1.004,0.417,8.448,3.4696
1040.0,0.430,8.149,1.004,0.432,8.398,3.5704
1080.0,0.449,8.066,1.003,0.452,8.320,3.6974
1120.0,0.459,8.003,1.003,0.462,8.255,3.7479
1160.0,0.474,7.896,1.004,0.476,8.135,3.8122
1200.0,0.479,7.813,1.004,0.481,8.049,3.8108
1240.0,0.483,7.705,1.004,0.486,7.938,3.7965
1280.0,0.493,7.607,1.004,0.496,7.837,3.8238
1320.0,0.498,7.485,1.004,0.501,7.711,3.7994
1360.0,0.503,7.383,1.004,0.506,7.605,3.7839
1400.0,0.508,7.246,1.004,0.511,7.463,3.7495
1440.0,0.513,7.144,1.004,0.516,7.357,3.7317
1480.0,0.513,7.012,1.004,0.516,7.221,3.6625
1520.0,0.522,6.909,1.004,0.525,7.115,3.6774
1560.0,0.522,6.782,1.004,0.525,6.983,3.6095
1600.0,0.527,6.685,1.004,0.530,6.882,3.5905
1640.0,0.527,6.548,1.004,0.530,6.741,3.5167
1680.0,0.532,6.440,1.004,0.535,6.630,3.4907
1720.0,0.532,6.313,1.004,0.535,6.498,3.4216
1760.0,0.537,6.216,1.004,0.540,6.397,3.3993
1800.0,0.542,6.084,1.004,0.545,6.261,3.3570
1840.0,0.542,5.981,1.004,0.545,6.155,3.3001
1880.0,0.547,5.854,1.004,0.550,6.023,3.2588
1920.0,0.552,5.752,1.004,0.555,5.917,3.2300
1960.0,0.552,5.615,1.004,0.555,5.776,3.1527
2000.0,0.552,5.508,1.004,0.555,5.665,3.0921
2040.0,0.552,5.376,1.004,0.555,5.528,3.0176
2080.0,0.557,5.269,1.004,0.560,5.417,2.9831
2120.0,0.562,5.137,1.004,0.565,5.281,2.9335
2160.0,0.562,5.029,1.004,0.565,5.170,2.8718
2200.0,0.566,4.902,1.004,0.570,5.038,2.8231
2240.0,0.566,4.795,1.004,0.570,4.927,2.7608
2280.0,0.566,4.658,1.004,0.570,4.786,2.6816
2320.0,0.571,4.556,1.004,0.575,4.680,2.6447
2360.0,0.571,4.424,1.004,0.575,4.543,2.5676
2400.0,0.571,4.316,1.004,0.575,4.432,2.5048
2440.0,0.576,4.185,1.004,0.579,4.296,2.4485
2480.0,0.576,4.077,1.004,0.579,4.185,2.3851
2520.0,0.576,3.945,1.004,0.579,4.048,2.3074
2560.0,0.581,3.843,1.004,0.584,3.942,2.2659
2600.0,0.581,3.701,1.004,0.584,3.796,2.1817
2640.0,0.581,3.594,1.004,0.584,3.684,2.1179
