PASAN Tester - Labo + TC 1.00, STC Performance
to 13 august 2020,11:25
Operator,Manufacturer,Module type,Serial number,Module ID code
NRIE,Sergiu,Mono 156,,Albarino T
Cell area (cm²),Module area (cm²),Cells in parallel,Cells in series
243.40,243.4,1,1
Reference cell,Calibration value (mV/kW/m²),Current range,Voltage range,Ref cell temp (°C)
MPT 1434-4,104.2,10.0,10.0,25.3
Filter name,Attenuation (%)
None,100.0
Mean irradiance (kW/m²),Cell efficiency (%),Module efficiency (%),Fill factor (%)
1.004,14.8,14.8,68.7
Pmax,Module temperature (°C)
3.592,40.0
Module voltage
Voc,Vmp,Series resistance
0.609,0.457,0.0124
Module current
Isc,Imp,Shunt resistance
8.598,7.994,18.3
Observations

Number of samples,Total time[us]
100,4000.0
Time[us], Umeas[V], Imeas[V], Irrad.[kW/m²], Ucorr.[V], Icorr.[A], Pcorr.[W]
0.0,0.571,1.958,1.000,0.574,2.026,1.1441
40.0,0.576,1.963,1.014,0.580,1.914,1.0930
80.0,0.371,7.900,1.019,0.375,8.016,2.9563
120.0,-0.171,10.000,1.020,-0.170,10.180,-1.6995
160.0,-0.269,8.809,1.019,-0.268,8.956,-2.3606
200.0,-0.298,8.535,1.017,-0.298,8.689,-2.5437
240.0,-0.283,8.462,1.016,-0.283,8.622,-2.3999
280.0,-0.254,8.442,1.014,-0.254,8.618,-2.1510
320.0,-0.215,8.418,1.013,-0.215,8.601,-1.8154
360.0,-0.181,8.418,1.012,-0.180,8.609,-1.5271
400.0,-0.151,8.398,1.011,-0.151,8.597,-1.2769
440.0,-0.112,8.394,1.010,-0.112,8.600,-0.9461
480.0,-0.068,8.379,1.009,-0.068,8.593,-0.5729
520.0,-0.044,8.394,1.008,-0.043,8.617,-0.3673
560.0,-0.005,8.364,1.007,-0.004,8.595,-0.0353
600.0,0.029,8.364,1.006,0.030,8.603,0.2545
640.0,0.068,8.345,1.006,0.069,8.583,0.5853
680.0,0.112,8.350,1.005,0.113,8.596,0.9588
720.0,0.146,8.335,1.005,0.148,8.581,1.2471
760.0,0.186,8.345,1.004,0.187,8.600,1.5810
800.0,0.220,8.325,1.004,0.221,8.580,1.8672
840.0,0.259,8.330,1.004,0.260,8.585,2.1998
880.0,0.288,8.306,1.004,0.290,8.559,2.4413
920.0,0.322,8.296,1.003,0.324,8.558,2.7291
960.0,0.347,8.267,1.004,0.349,8.519,2.9232
1000.0,0.376,8.228,1.003,0.378,8.487,3.1572
1040.0,0.396,8.184,1.004,0.398,8.433,3.3008
1080.0,0.410,8.110,1.004,0.413,8.357,3.3922
1120.0,0.425,8.042,1.004,0.427,8.287,3.4835
1160.0,0.435,7.944,1.004,0.437,8.186,3.5201
1200.0,0.444,7.866,1.004,0.447,8.105,3.5636
1240.0,0.454,7.759,1.004,0.457,7.994,3.5919
1280.0,0.459,7.666,1.004,0.462,7.898,3.5869
1320.0,0.464,7.549,1.004,0.467,7.776,3.5693
1360.0,0.469,7.461,1.004,0.472,7.685,3.5647
1400.0,0.474,7.344,1.004,0.476,7.564,3.5450
1440.0,0.479,7.246,1.003,0.481,7.472,3.5369
1480.0,0.483,7.119,1.004,0.486,7.332,3.5068
1520.0,0.488,7.017,1.004,0.491,7.226,3.4910
1560.0,0.488,6.890,1.004,0.491,7.094,3.4275
1600.0,0.493,6.777,1.004,0.496,6.978,3.4051
1640.0,0.498,6.631,1.004,0.501,6.827,3.3641
1680.0,0.503,6.523,1.004,0.506,6.715,3.3417
1720.0,0.503,6.392,1.004,0.506,6.579,3.2739
1760.0,0.508,6.289,1.004,0.511,6.473,3.2523
1800.0,0.508,6.157,1.004,0.511,6.337,3.1838
1840.0,0.513,6.055,1.004,0.516,6.231,3.1606
1880.0,0.513,5.923,1.004,0.516,6.094,3.0914
1920.0,0.518,5.815,1.004,0.521,5.983,3.0639
1960.0,0.522,5.679,1.004,0.525,5.842,3.0196
2000.0,0.522,5.576,1.004,0.525,5.735,2.9648
2040.0,0.522,5.439,1.004,0.525,5.594,2.8917
2080.0,0.527,5.332,1.004,0.530,5.483,2.8607
2120.0,0.527,5.200,1.004,0.530,5.346,2.7895
2160.0,0.532,5.088,1.004,0.535,5.230,2.7541
2200.0,0.537,4.956,1.004,0.540,5.094,2.7069
2240.0,0.537,4.849,1.004,0.540,4.983,2.6479
2280.0,0.537,4.712,1.004,0.540,4.841,2.5727
