Year,Month,day,AC_PR_FT,T_mod [C],gamma,PR_corrected_FT,,HSAT_Tmod [°C],AC_PR_HSAT,gamma,PR_corrected_HSAT
2020,1,1,0.963,8.823094072,-0.0039,0.9062,,9.205,0.918,-0.0039,0.8647
2020,1,2,0.92,6.107352136,-0.0039,0.8567,,6.306,0.883,-0.0039,0.8228
2020,1,3,0.906,10.37687067,-0.0039,0.8571,,9.655,0.868,-0.0039,0.8191
2020,1,4,0.79,8.986284659,-0.0039,0.7434,,8.07,0.805,-0.0039,0.7553
2020,1,5,1.003,8.580279159,-0.0039,0.9427,,6.991,0.955,-0.0039,0.8924
2020,1,6,0.886,12.46321403,-0.0039,0.8445,,10.288,0.864,-0.0039,0.8167
2020,1,7,0.938,11.65617071,-0.0039,0.8912,,9.879,0.908,-0.0039,0.8574
2020,1,8,0.911,15.52086755,-0.0039,0.8789,,12.783,0.889,-0.0039,0.8482
2020,1,9,0.873,12.12535811,-0.0039,0.8309,,8.199,0.836,-0.0039,0.7848
2020,1,10,0.885,22.35470599,-0.0039,0.8756,,9.837,0.868,-0.0039,0.8191
2020,1,11,0.922,11.28212759,-0.0039,0.8749,,8.457,0.932,-0.0039,0.8759
2020,1,12,0.93,12.7772759,-0.0039,0.8874,,9.94,0.905,-0.0039,0.8547
2020,1,13,0.912,12.11703462,-0.0039,0.8681,,8.647,0.921,-0.0039,0.8653
2020,1,14,0.849,12.68650521,-0.0039,0.8102,,11.522,0.87,-0.0039,0.827
2020,1,15,0.871,16.2169815,-0.0039,0.8418,,14.608,0.855,-0.0039,0.8215
2020,1,16,0.875,15.44097553,-0.0039,0.8434,,12.448,0.93,-0.0039,0.887
2020,1,21,0.809,15.45487047,-0.0039,0.7803,,11.077,0.789,-0.0039,0.7482
2020,1,22,0.749,29.33610679,-0.0039,0.7616,,12.579,0.878,-0.0039,0.8371
2020,1,23,0.911,15.38041752,-0.0039,0.8785,,9.046,0.904,-0.0039,0.8508
2020,1,24,0.95,15.00772552,-0.0039,0.9141,,10.749,0.942,-0.0039,0.8925
2020,1,25,0.873,14.81770097,-0.0039,0.8401,,10.984,0.921,-0.0039,0.873
2020,1,26,0.929,11.50796138,-0.0039,0.8828,,8.888,0.918,-0.0039,0.8639
2020,1,27,0.913,9.885383313,-0.0039,0.8618,,8.749,0.909,-0.0039,0.8551
2020,1,28,0.919,10.9151996,-0.0039,0.8714,,9.701,0.929,-0.0039,0.8769
2020,1,29,0.885,9.223457133,-0.0039,0.8338,,9.408,0.95,-0.0039,0.8955
2020,1,30,0.917,11.18288391,-0.0039,0.8699,,11.636,0.923,-0.0039,0.8774
