TimeStmp,DC Input Power to Inverter,MPP Power current,Output Power to Grid,,TimeStmp,DC Input Power,MPP Power slow ramp,Output Power to Grid,,,TimeStmp,DC Input Power to Inverter,MPP Power voltage,Output Power to Grid
0,1.3908,2.323602302,-0.19863,,0,1.4185,0.505130948,-0.19274,,,0,6.4758,6.520464377,3.3871
0.500965,1.399,2.323602302,-0.20452,,0.5,1.4185,0.553608471,-0.19247,,,0.499959,6.4748,6.520464377,3.3831
0.999902,1.412,2.323602302,-0.19628,,1,-13.089,0.603294879,-0.19317,,,0.999917,6.4747,6.520464377,3.3854
1.49987,1.4632,2.323602302,0.013626,,1.5,-0.1338,0.654113516,-0.19295,,,1.49985,6.4727,6.520464377,3.3718
2.000864,1.8892,2.323602302,0.01365,,2,0,0.705868718,-0.1933,,,1.999834,6.4706,6.520464377,3.3641
2.499807,1.993,2.323602302,0.013778,,2.5,0,0.758560671,-0.19368,,,2.499792,6.4649,6.520464377,3.3471
3.000794,2.1216,2.323602302,0.01369,,3,0,0.812203038,-0.19338,,,3.000749,6.4605,6.520464377,3.3374
3.500774,2.0081,2.323602302,0.015342,,3.5,0,0.866801433,-0.19844,,,3.500709,6.4536,6.520464377,3.331
4.000743,1.4053,2.323602302,0.015537,,4,0,0.922361112,-0.1988,,,4.000668,6.4523,6.520464377,3.3323
4.500689,1.4053,2.323602302,0.016236,,4.5,0,0.978885058,-0.19853,,,4.500627,6.4493,6.520464377,3.3228
5.0007982,1.3524,2.323602302,0.01662,,5,0,1.036376464,-0.19843,,,5.000573,6.4484,6.520464377,3.3322
5.500863182,1.3523,2.323602302,0.017429,,5.5,0,1.09483726,-0.19923,,,5.500531,6.448,6.520464377,3.331
6.000928164,1.3414,2.323602302,0.009439,,6,0,1.154269964,-0.19913,,,6.000501,6.4484,6.520464377,3.3323
6.500993145,1.3277,2.323602302,0.009439,,6.5,0,1.214674922,-0.19905,,,6.500424,6.4521,6.520464377,3.3513
7.001058127,1.3275,2.323602302,-0.19984,,7,0.006764,1.276060824,-0.19876,,,7.000407,6.4548,6.520464377,3.3537
7.501123109,1.335,2.323602302,-0.20035,,7.5,0.007076,1.338415341,-0.19849,,,7.500349,6.4584,6.520464377,3.3701
8.001188091,1.3559,2.323602302,-0.19751,,8,0.007927,1.401746259,-0.19854,,,8.001324,6.4627,6.520464377,3.3841
8.501253073,1.3944,2.323602302,-0.1943,,8.5,0.008564,1.466054003,-0.19852,,,8.500294,6.4658,6.520464377,3.3898
9.001318055,1.4648,2.323602302,0.011759,,9,0.009116,1.531338662,-0.19868,,,9.000231,6.467,6.520464377,3.3867
9.501383036,1.9434,2.323602302,0.012706,,9.5,0.009546,1.597601345,-0.19865,,,9.501205,6.47,6.520464377,3.3968
10.00144802,2.1519,2.323602302,0.013687,,10,0.009846,1.664842699,-0.19864,,,10.001166,6.4711,6.520464377,3.393
10.501513,2.1811,2.323602302,0.014625,,10.5,0.010168,1.733062752,-0.1938,,,10.500118,6.4715,6.520464377,3.3891
11.00157798,2.0209,2.323602302,0.016133,,11,0.010401,1.802261299,-0.19339,,,11.000087,6.4714,6.520464377,3.3918
11.50164296,1.4635,2.323602302,0.016608,,11.5,0.010401,1.872439814,-0.19357,,,11.500034,6.4677,6.520464377,3.3749
12.00170795,1.4019,2.323602302,0.017209,,12,0.010654,1.943604514,-0.19348,,,12,6.4646,6.520464377,3.37
12.50177293,1.3603,2.323602302,0.018027,,12.5,0.010847,2.015742151,-0.19791,,,12.499949,6.4612,6.520464377,3.3481
13.00183791,1.3353,2.323602302,0.020198,,13,0.011076,2.088872066,-0.19791,,,12.999898,6.4567,6.520464377,3.3399
13.50190289,1.3387,2.323602302,0.017178,,13.5,0.01126,2.16315612,-0.19814,,,13.500873,6.4532,6.520464377,3.3338
14.00196787,1.3418,2.323602302,-0.19652,,14,0.011468,2.238412502,-0.198,,,13.999826,6.4505,6.520464377,3.3374
14.50203285,1.3463,2.323602302,-0.19668,,14.5,0.011612,2.314641926,-0.1979,,,14.500784,6.4479,6.520464377,3.3294
15.00209784,1.3636,2.323602302,-0.20263,,15,0.011812,2.391845177,-0.19818,,,14.999746,6.4466,6.520464377,3.3294
15.50216282,1.4032,2.323602302,-0.20306,,15.5,0.012034,2.470022727,-0.19791,,,15.499681,6.447,6.520464377,3.3348
16.0022278,1.4687,2.323602302,-0.098744,,16,0.012163,2.549182477,-0.19378,,,15.99966,6.4464,6.520464377,3.3313
16.50229278,1.936,2.323602302,0.021607,,16.5,0.012445,2.629311018,-0.19347,,,16.500629,6.4497,6.520464377,3.3459
17.00235776,2.1512,2.323602302,0.021685,,17,0.012615,2.710415308,-0.19313,,,16.999588,6.4522,6.520464377,3.3503
17.50242275,2.1944,2.323602302,0.021725,,17.5,0.012732,2.792496983,-0.19748,,,17.499561,6.4562,6.520464377,3.368
18.00248773,2.0439,2.323602302,0.021854,,18,0.012916,2.875554481,-0.19826,,,17.999481,6.4609,6.520464377,3.3817
18.50255271,1.4459,2.323602302,0.002924,,18.5,0.013004,2.959590264,-0.19823,,,18.499464,6.4643,6.520464377,3.387
19.00261769,1.3696,2.323602302,0.003119,,19,0.013223,3.044603481,-0.19375,,,19.000422,6.4667,6.520464377,3.3858
19.50268267,1.3638,2.323602302,0.002788,,19.5,0.013404,3.130595009,-0.19386,,,19.499378,6.4686,6.520464377,3.3901
20.00274765,1.3449,2.323602302,0.003802,,20,0.013519,3.217564224,-0.19386,,,19.999328,6.471,6.520464377,3.3923
20.50281264,1.3329,2.323602302,0.004163,,20.5,0.013745,3.305519961,-0.1942,,,20.499295,6.4702,6.520464377,3.3858
21.00287762,1.3381,2.323602302,-0.091567,,21,0.014039,3.394446102,-0.19376,,,21.000202,6.4703,6.520464377,3.3847
21.5029426,1.3414,2.323602302,-0.1956,,21.5,0.014288,3.48435258,-0.1945,,,21.500202,6.4676,6.520464377,3.368
22.00300758,1.3576,2.323602302,-0.19646,,22,0.014577,3.575236969,-0.19482,,,22.001166,6.4635,6.520464377,3.3661
22.50307256,1.3841,2.323602302,-0.19945,,22.5,0.014952,3.667101378,-0.19473,,,22.50012,6.4609,6.520464377,3.3528
23.00313755,1.4579,2.323602302,-0.018122,,23,0.01531,3.759945316,-0.19474,,,23.000078,6.4566,6.520464377,3.3375
23.50320253,1.8558,2.323602302,0.019748,,23.5,0.015706,3.8537688,-0.19459,,,23.500022,6.4529,6.520464377,3.3329
24.00326751,2.0585,2.323602302,0.019882,,24,0.016031,3.948571914,-0.19465,,,23.999994,6.4529,6.520464377,3.3317
24.50333249,2.1492,2.323602302,0.019921,,24.5,0.016295,4.044354805,-0.19411,,,25.167909,132.56,165.4911348,19.574
25.00339747,2.1092,2.323602302,0.019578,,25,0.016725,4.141118691,-0.1935,,,25.834847,159.65,167.9659431,147.69
25.50346245,1.9681,2.323602302,0.019523,,25.5,0.017023,4.238888593,-0.19318,,,26.334802,161.85,170.4406831,149.68
26.00352744,1.3666,2.323602302,0.019843,,26,0.017313,4.33775049,-0.19323,,,26.834761,163.55,172.9154914,151.18
26.50359242,1.3563,2.323602302,-0.000686,,26.5,0.017463,4.437589892,-0.19334,,,27.336728,164.8,175.3902313,152.35
27.0036574,1.3556,2.323602302,0.000496,,27,0.017746,4.53840667,-0.19319,,,27.832688,164.74,177.8650396,152.68
27.50372238,1.3346,2.323602302,-0.001468,,27.5,0.017933,4.640199669,-0.1931,,,28.334635,143.4,180.3397796,134.06
28.00378736,1.3274,2.323602302,-0.1789,,28,0.018164,4.742972163,-0.19337,,,28.833593,0,182.8145195,-0.21019
28.50385235,1.3334,2.323602302,-0.19708,,28.5,0.018545,4.846722066,-0.19333,,,29.331552,1.7866,185.2893278,-0.19278
29.00391733,1.346,2.323602302,-0.20273,,29,0.018927,4.951450646,-0.19313,,,29.831514,1.7866,187.7641361,0.24331
29.50398231,1.3691,2.323602302,-0.19632,,29.5,0.019271,5.057157566,-0.19415,,,30.330471,3.9178,190.2388761,0.24331
30.00404729,1.3691,2.323602302,-0.19632,,30,0.019531,5.163852504,-0.19435,,,30.831441,104.78,192.7136844,108.64
30.50411227,1.4342,2.323602302,0.9228,,30.5,0.019888,5.271515299,-0.19415,,,31.330395,130.98,195.1884927,128.7
31.00417725,1.9064,2.323602302,-0.18947,,31,0.02028,5.380158626,-0.19474,,,31.830348,130.98,197.6632326,138.41
31.50424224,1.9645,2.323602302,-0.19252,,31.5,0.020646,5.489782395,-0.19511,,,32.330303,160.32,200.1380409,145.18
32.00430722,2.0688,2.323602302,-0.19295,,32,0.020986,5.600383461,-0.19452,,,32.834262,175.22,202.6127809,151.75
32.5043722,2.1145,2.323602302,-0.19819,,32.5,0.021374,5.711964184,-0.19459,,,33.331231,182.37,205.0875892,157.34
33.00443718,2.0155,2.323602302,-0.19986,,33,0.021674,5.824525815,-0.19446,,,33.834179,186.99,207.5623291,185.46
33.50450216,1.4214,2.323602302,-0.19632,,33.5,0.02194,5.938065209,-0.19428,,,34.334146,190.73,210.0371374,185.46
34.00456715,1.3529,2.323602302,-0.19666,,34,0.02254,6.052594899,-0.19427,,,34.832096,193.76,212.5118774,190.71
34.50463213,1.3539,2.323602302,-0.19653,,34.5,0.022866,6.168094486,-0.19383,,,34.999083,196.08,212.5118774,191.5
35.00469711,1.3445,2.323602302,-0.19659,,35,0.023161,6.284574637,-0.19374,,,35.499051,197.5,212.5118774,191.46
35.50476209,1.3303,2.323602302,-0.19685,,35.5,0.023287,6.402034847,-0.19417,,,35.999007,198.06,212.5118774,190.64
36.00482707,1.3241,2.323602302,-0.19696,,36,0.023443,6.520474608,-0.19377,,,36.498968,198.46,212.5118774,189.84
36.50489205,1.3301,2.323602302,-0.20323,,36.5,0.023443,6.639895487,-0.19377,,,36.999926,198.88,212.5118774,189.4
37.00495704,1.3496,2.323602302,-0.19299,,37,0.023295,6.760294256,-0.19381,,,37.498884,201.64,212.5118774,189.07
37.50502202,1.3847,2.323602302,0.019836,,37.5,0.023553,6.881676745,-0.19417,,,37.99884,203.03,212.5118774,188.85
38.005087,1.4984,2.323602302,0.01894,,38,0.0238,7.00405375,-0.19407,,,38.500789,203.82,212.5118774,188.83
38.50515198,2.0808,2.323602302,0.01893,,38.5,0.024104,7.127523026,-0.19374,,,38.999753,204.11,212.5118774,188.83
39.00521696,2.2438,2.323602302,0.018936,,39,0.024368,7.251961764,-0.19457,,,39.499708,204.35,212.5118774,189
39.50528195,2.0814,2.323602302,0.019784,,39.5,0.024526,7.377377646,-0.19457,,,39.999666,204.46,212.5118774,189.11
40.00534693,1.8894,2.323602302,0.019605,,40,0.024747,7.50377227,-0.19449,,,40.499603,204.8,212.5118774,189.34
